Ips,Count,% Over total
17.248.131.9,3,0.01%
3.98.196.4,3,0.01%
13.226.100.85,3,0.01%
17.188.155.45,3,0.01%
23.40.205.19,3,0.01%
17.188.166.219,3,0.01%
185.199.111.133,3,0.01%
104.120.129.7,3,0.01%
104.71.143.203,3,0.01%
17.248.186.166,3,0.01%
184.27.177.69,3,0.01%
23.40.99.11,3,0.01%
18.65.3.13,3,0.01%
18.65.3.86,3,0.01%
15.222.146.202,3,0.01%
3.97.244.183,3,0.01%
193.233.132.40,3,0.01%
23.197.34.23,3,0.01%
109.100.59.186,3,0.01%
23.63.242.170,3,0.01%
17.248.175.203,3,0.01%
17.250.102.50,3,0.01%
17.248.142.101,3,0.01%
18.65.25.30,3,0.01%
185.82.217.48,3,0.01%
184.28.212.25,3,0.01%
23.52.116.30,3,0.01%
17.248.186.173,3,0.01%
3.98.210.27,3,0.01%
49.51.78.226,3,0.01%
18.164.78.9,3,0.01%
17.188.185.133,3,0.01%
23.6.117.10,3,0.01%
93.186.200.90,3,0.01%
108.61.174.232,3,0.01%
49.51.77.119,3,0.01%
23.203.61.147,3,0.01%
173.222.56.166,3,0.01%
23.218.188.29,3,0.01%
23.60.13.17,3,0.01%
159.253.99.62,3,0.01%
23.197.193.49,3,0.01%
172.93.201.106,3,0.01%
17.188.163.25,3,0.01%
3.161.136.35,3,0.01%
13.225.145.44,3,0.01%
45.93.137.224,3,0.01%
17.188.161.23,3,0.01%
17.188.131.14,3,0.01%
17.188.136.41,3,0.01%
184.26.143.129,3,0.01%
17.188.142.35,3,0.01%
54.230.21.112,3,0.01%
18.64.155.3,3,0.01%
104.123.72.30,3,0.01%
23.67.33.42,3,0.01%
23.73.129.72,3,0.01%
17.248.131.8,3,0.01%
23.11.196.117,3,0.01%
104.117.232.159,3,0.01%
23.10.207.228,3,0.01%
17.248.188.172,3,0.01%
23.207.66.22,3,0.01%
54.67.125.39,3,0.01%
23.209.188.215,3,0.01%
23.66.48.27,3,0.01%
23.204.245.139,3,0.01%
23.33.248.33,3,0.01%
184.27.177.88,3,0.01%
209.170.97.50,3,0.01%
23.48.162.197,3,0.01%
17.250.102.38,3,0.01%
99.84.203.82,3,0.01%
23.1.33.215,3,0.01%
223.5.5.5,3,0.01%
194.87.31.113,3,0.01%
23.65.9.125,3,0.01%
104.88.206.201,3,0.01%
23.60.32.136,3,0.01%
172.217.215.95,3,0.01%
108.177.122.97,3,0.01%
108.177.122.155,3,0.01%
23.204.147.243,3,0.01%
172.217.15.206,3,0.01%
23.55.116.194,3,0.01%
17.188.166.74,3,0.01%
23.38.252.202,3,0.01%
54.93.241.105,3,0.01%
104.126.16.254,3,0.01%
5.252.226.123,3,0.01%
172.17.0.15,3,0.01%
180.115.99.45,3,0.01%
23.56.172.225,3,0.01%
100.25.44.152,3,0.01%
23.1.234.170,3,0.01%
17.188.151.38,3,0.01%
17.248.131.10,3,0.01%
192.151.152.250,3,0.01%
23.55.62.152,3,0.01%
17.248.174.19,3,0.01%
184.28.221.82,3,0.01%
184.24.37.167,3,0.01%
23.44.229.199,3,0.01%
142.250.176.14,3,0.01%
3.98.170.247,3,0.01%
172.67.223.16,3,0.01%
3.163.125.108,3,0.01%
3.98.250.89,3,0.01%
17.188.147.55,3,0.01%
139.162.179.170,3,0.01%
23.218.208.181,3,0.01%
64.233.177.84,3,0.01%
17.188.147.47,3,0.01%
54.230.21.75,3,0.01%
142.250.128.94,3,0.01%
17.188.153.167,3,0.01%
139.59.134.254,3,0.01%
159.253.120.239,3,0.01%
23.73.128.30,3,0.01%
18.65.25.56,3,0.01%
23.62.208.25,3,0.01%
173.222.112.112,3,0.01%
173.66.253.189,3,0.01%
17.253.6.85,3,0.01%
104.124.133.23,3,0.01%
3.163.125.18,3,0.01%
74.125.124.94,3,0.01%
23.223.209.205,3,0.01%
173.194.60.170,3,0.01%
23.67.195.35,3,0.01%
216.239.34.21,3,0.01%
54.230.21.77,3,0.01%
23.63.250.51,3,0.01%
17.188.162.153,3,0.01%
23.48.105.56,3,0.01%
104.76.214.169,3,0.01%
17.248.185.111,3,0.01%
17.248.185.174,3,0.01%
18.154.144.102,3,0.01%
104.122.75.62,3,0.01%
54.230.21.86,3,0.01%
23.37.230.25,3,0.01%
23.199.47.88,3,0.01%
17.57.145.26,3,0.01%
13.226.100.90,3,0.01%
104.84.237.16,3,0.01%
140.82.113.6,3,0.01%
18.155.1.28,3,0.01%
17.248.131.172,3,0.01%
18.65.25.127,3,0.01%
54.188.116.9,3,0.01%
23.35.67.196,3,0.01%
72.246.252.160,3,0.01%
17.188.131.145,3,0.01%
184.31.16.36,3,0.01%
17.248.188.147,3,0.01%
104.97.2.134,3,0.01%
23.48.162.215,3,0.01%
17.188.136.30,3,0.01%
54.230.31.93,3,0.01%
17.248.175.134,3,0.01%
104.75.163.153,3,0.01%
17.248.131.178,3,0.01%
96.16.55.24,3,0.01%
13.225.142.73,3,0.01%
17.253.97.204,3,0.01%
17.57.145.25,3,0.01%
23.10.206.162,3,0.01%
13.33.21.16,3,0.01%
23.1.33.218,3,0.01%
104.248.132.143,3,0.01%
111.220.93.37,3,0.01%
23.47.204.72,3,0.01%
17.188.163.28,3,0.01%
17.188.152.42,3,0.01%
54.230.72.42,3,0.01%
104.79.0.16,3,0.01%
17.250.99.102,3,0.01%
17.188.137.165,3,0.01%
144.217.181.208,3,0.01%
104.70.74.250,3,0.01%
13.226.225.20,3,0.01%
173.223.239.159,3,0.01%
17.188.137.38,3,0.01%
185.248.19.35,3,0.01%
10.244.11.179,3,0.01%
23.197.184.112,3,0.01%
99.79.108.227,3,0.01%
94.181.44.170,3,0.01%
23.204.147.241,3,0.01%
18.164.154.123,3,0.01%
13.33.21.22,3,0.01%
68.51.114.115,3,0.01%
24.202.31.9,3,0.01%
210.238.205.147,3,0.01%
23.199.47.140,3,0.01%
17.188.134.161,3,0.01%
17.188.157.168,3,0.01%
17.188.161.24,3,0.01%
122.195.70.99,3,0.01%
172.18.0.1,3,0.01%
13.225.142.77,3,0.01%
23.67.33.77,3,0.01%
54.220.25.233,3,0.01%
23.67.33.145,3,0.01%
216.137.39.46,3,0.01%
89.187.187.17,3,0.01%
23.63.249.154,3,0.01%
23.204.146.200,3,0.01%
18.244.202.19,3,0.01%
96.7.140.23,3,0.01%
23.45.22.95,3,0.01%
104.88.206.154,3,0.01%
142.250.68.42,3,0.01%
142.250.72.170,3,0.01%
172.217.5.202,3,0.01%
104.104.244.57,3,0.01%
17.248.186.72,3,0.01%
172.65.0.13,3,0.01%
17.248.186.169,3,0.01%
147.75.47.199,3,0.01%
23.194.100.49,3,0.01%
151.101.128.223,3,0.01%
18.65.25.70,3,0.01%
23.48.162.149,3,0.01%
23.195.81.10,3,0.01%
104.76.214.145,3,0.01%
96.16.55.14,3,0.01%
23.32.253.125,3,0.01%
23.197.185.180,3,0.01%
17.188.139.41,3,0.01%
104.124.156.46,3,0.01%
3.163.80.32,3,0.01%
54.230.253.79,3,0.01%
216.58.217.238,3,0.01%
184.28.188.201,3,0.01%
23.193.200.95,3,0.01%
17.188.163.84,3,0.01%
23.55.62.155,3,0.01%
138.68.224.240,3,0.01%
51.89.99.235,3,0.01%
17.167.193.45,3,0.01%
17.188.141.166,3,0.01%
23.55.60.18,3,0.01%
146.190.188.171,3,0.01%
17.57.146.135,3,0.01%
173.222.52.24,3,0.01%
5.237.30.183,3,0.01%
17.188.164.223,3,0.01%
104.85.244.110,3,0.01%
23.47.65.120,3,0.01%
99.84.203.112,3,0.01%
10.244.8.79,3,0.01%
104.76.214.137,3,0.01%
163.181.66.61,3,0.01%
104.71.143.202,3,0.01%
17.132.84.5,3,0.01%
85.11.176.118,3,0.01%
23.205.197.231,3,0.01%
23.195.81.11,3,0.01%
23.62.152.29,3,0.01%
104.76.214.139,3,0.01%
23.49.5.243,3,0.01%
172.217.5.83,3,0.01%
199.241.136.2,3,0.01%
147.75.195.153,3,0.01%
95.31.12.219,3,0.01%
151.234.149.25,3,0.01%
103.10.97.139,3,0.01%
18.164.78.21,3,0.01%
23.55.62.144,3,0.01%
73.154.246.49,3,0.01%
13.225.142.8,3,0.01%
104.112.19.126,3,0.01%
34.94.72.179,3,0.01%
104.75.163.152,3,0.01%
23.49.5.210,3,0.01%
89.23.102.83,3,0.01%
23.35.29.6,3,0.01%
17.248.142.19,3,0.01%
104.79.0.19,3,0.01%
184.26.142.27,3,0.01%
17.188.162.24,3,0.01%
17.188.137.162,3,0.01%
17.188.128.147,3,0.01%
104.106.50.139,3,0.01%
17.248.185.7,3,0.01%
23.62.46.219,3,0.01%
23.49.5.141,3,0.01%
17.57.144.185,3,0.01%
172.17.0.3,3,0.01%
17.248.188.78,3,0.01%
23.204.147.202,3,0.01%
23.67.33.85,3,0.01%
47.246.23.163,3,0.01%
104.117.232.118,3,0.01%
147.182.137.203,3,0.01%
23.62.177.64,3,0.01%
104.75.163.155,3,0.01%
23.58.90.40,3,0.01%
172.55.11.138,3,0.01%
216.137.39.77,3,0.01%
45.82.153.92,3,0.01%
23.40.207.209,3,0.01%
17.188.149.171,3,0.01%
17.188.140.37,3,0.01%
23.43.85.200,3,0.01%
18.164.154.53,3,0.01%
23.209.36.137,3,0.01%
17.248.206.2,3,0.01%
104.97.2.151,3,0.01%
23.216.155.83,3,0.01%
17.253.52.253,3,0.01%
13.249.102.27,3,0.01%
17.250.102.68,3,0.01%
17.248.175.211,3,0.01%
184.30.153.138,3,0.01%
142.250.217.132,3,0.01%
23.48.162.7,3,0.01%
18.154.144.47,3,0.01%
17.248.230.64,3,0.01%
17.188.146.172,3,0.01%
17.188.144.180,3,0.01%
23.222.236.10,3,0.01%
23.44.104.12,3,0.01%
194.195.211.26,3,0.01%
17.57.147.7,3,0.01%
23.217.118.168,3,0.01%
23.36.70.225,3,0.01%
23.55.62.184,3,0.01%
23.72.224.48,3,0.01%
23.6.117.34,3,0.01%
17.188.163.23,3,0.01%
18.160.60.10,3,0.01%
17.188.156.41,3,0.01%
17.188.157.51,3,0.01%
44.227.76.166,3,0.01%
54.230.21.40,3,0.01%
23.12.40.153,3,0.01%
18.65.3.83,3,0.01%
13.226.228.8,3,0.01%
104.90.245.226,3,0.01%
23.206.188.151,3,0.01%
18.154.206.81,3,0.01%
23.4.32.10,3,0.01%
184.50.26.35,3,0.01%
23.1.244.190,3,0.01%
17.188.139.33,3,0.01%
184.28.252.26,3,0.01%
17.188.144.40,3,0.01%
104.79.0.41,3,0.01%
17.132.84.6,3,0.01%
216.137.39.105,3,0.01%
17.248.188.142,3,0.01%
17.188.148.188,3,0.01%
192.18.157.253,3,0.01%
23.67.33.136,3,0.01%
17.248.185.6,3,0.01%
23.36.21.182,3,0.01%
195.201.11.54,3,0.01%
23.223.44.208,3,0.01%
13.66.185.226,3,0.01%
43.130.145.170,3,0.01%
172.232.44.40,3,0.01%
23.11.228.139,3,0.01%
184.28.221.107,3,0.01%
17.253.24.200,3,0.01%
173.212.225.176,3,0.01%
13.226.241.128,3,0.01%
131.186.113.70,3,0.01%
74.208.43.192,3,0.01%
13.35.89.75,3,0.01%
17.57.145.118,3,0.01%
17.248.175.171,3,0.01%
17.253.97.206,3,0.01%
172.55.21.41,3,0.01%
108.139.15.105,3,0.01%
217.230.161.246,3,0.01%
159.224.238.216,3,0.01%
184.28.213.137,3,0.01%
15.156.180.63,3,0.01%
146.190.188.128,3,0.01%
96.6.0.158,3,0.01%
17.248.175.179,3,0.01%
104.97.2.143,3,0.01%
192.178.27.195,3,0.01%
17.57.145.136,3,0.01%
151.101.131.8,3,0.01%
104.99.238.8,3,0.01%
17.188.167.85,3,0.01%
17.57.146.155,3,0.01%
23.46.202.253,3,0.01%
23.194.120.164,3,0.01%
17.248.175.144,3,0.01%
192.18.157.33,3,0.01%
23.223.17.199,3,0.01%
172.217.215.138,3,0.01%
54.230.21.58,3,0.01%
18.64.155.111,3,0.01%
17.248.186.10,3,0.01%
104.70.228.76,3,0.01%
17.248.206.9,3,0.01%
17.248.206.11,3,0.01%
17.139.246.6,3,0.01%
72.246.156.157,3,0.01%
23.203.101.67,3,0.01%
23.56.99.176,3,0.01%
23.67.33.143,3,0.01%
216.137.39.54,3,0.01%
23.199.65.83,3,0.01%
17.248.185.112,3,0.01%
17.248.185.72,3,0.01%
146.190.190.37,3,0.01%
23.45.173.134,3,0.01%
87.123.150.208,3,0.01%
150.230.31.253,3,0.01%
70.37.75.198,3,0.01%
17.188.157.173,3,0.01%
108.156.152.116,3,0.01%
17.188.144.46,3,0.01%
18.64.155.87,3,0.01%
23.193.41.4,3,0.01%
23.6.116.155,3,0.01%
17.248.188.112,3,0.01%
23.47.204.80,3,0.01%
23.60.104.24,3,0.01%
23.47.204.52,3,0.01%
23.5.152.223,3,0.01%
13.225.142.71,3,0.01%
104.70.71.223,3,0.01%
23.205.89.166,3,0.01%
17.188.130.13,3,0.01%
23.199.65.90,3,0.01%
17.253.13.206,3,0.01%
23.55.62.74,3,0.01%
17.188.132.36,3,0.01%
104.96.246.227,3,0.01%
23.55.220.147,3,0.01%
23.56.99.145,3,0.01%
104.106.6.96,3,0.01%
23.46.30.137,3,0.01%
17.248.131.177,3,0.01%
23.214.170.88,3,0.01%
184.29.177.81,3,0.01%
18.64.236.78,3,0.01%
17.188.132.40,3,0.01%
104.105.89.181,3,0.01%
151.101.52.223,3,0.01%
23.55.214.29,3,0.01%
162.159.135.232,3,0.01%
23.45.173.132,3,0.01%
2.22.41.118,3,0.01%
18.160.78.124,3,0.01%
23.47.27.27,3,0.01%
13.226.228.12,3,0.01%
91.227.77.202,3,0.01%
23.55.62.169,3,0.01%
74.125.202.94,3,0.01%
17.188.167.26,3,0.01%
35.190.10.96,3,0.01%
23.192.212.159,3,0.01%
17.173.65.116,3,0.01%
104.99.129.112,3,0.01%
17.248.186.174,3,0.01%
23.35.204.139,3,0.01%
23.192.198.126,3,0.01%
23.201.149.111,3,0.01%
23.55.252.143,3,0.01%
23.60.12.105,3,0.01%
142.250.105.102,3,0.01%
144.76.27.228,3,0.01%
46.4.58.205,3,0.01%
23.48.32.40,3,0.01%
142.250.105.138,3,0.01%
17.250.102.8,3,0.01%
96.16.55.27,3,0.01%
17.248.188.79,3,0.01%
104.107.104.120,3,0.01%
17.111.103.103,3,0.01%
104.92.128.99,3,0.01%
17.253.4.213,3,0.01%
23.206.188.200,3,0.01%
54.230.31.31,3,0.01%
23.42.82.217,3,0.01%
23.32.126.128,3,0.01%
13.225.142.35,3,0.01%
17.248.188.177,3,0.01%
17.248.186.200,3,0.01%
17.250.102.14,3,0.01%
151.101.2.133,3,0.01%
23.220.194.238,3,0.01%
17.188.164.210,3,0.01%
96.17.57.31,3,0.01%
23.60.13.48,3,0.01%
17.250.99.41,3,0.01%
192.225.157.157,3,0.01%
23.206.125.112,3,0.01%
17.253.26.85,3,0.01%
3.94.40.55,3,0.01%
52.201.194.177,3,0.01%
104.64.61.12,3,0.01%
17.188.164.150,3,0.01%
23.50.233.159,3,0.01%
104.21.23.150,3,0.01%
18.164.78.24,3,0.01%
173.223.239.29,3,0.01%
17.248.175.236,3,0.01%
17.132.84.9,3,0.01%
23.219.48.209,3,0.01%
23.66.69.41,3,0.01%
17.188.185.132,3,0.01%
52.85.192.65,3,0.01%
184.24.197.216,3,0.01%
18.154.206.60,3,0.01%
23.48.162.142,3,0.01%
17.188.156.164,3,0.01%
17.188.162.54,3,0.01%
17.57.145.119,3,0.01%
17.188.139.157,3,0.01%
17.250.98.208,3,0.01%
23.196.168.162,3,0.01%
173.222.249.32,3,0.01%
36.152.177.243,3,0.01%
192.18.158.1,3,0.01%
108.139.15.42,3,0.01%
17.250.102.103,3,0.01%
172.18.0.3,3,0.01%
104.107.105.12,3,0.01%
142.250.72.138,3,0.01%
17.188.140.43,3,0.01%
23.215.124.234,3,0.01%
23.196.154.230,3,0.01%
17.250.102.4,3,0.01%
184.51.220.22,3,0.01%
140.82.113.3,3,0.01%
151.101.195.8,3,0.01%
15.156.123.82,3,0.01%
23.33.29.7,3,0.01%
184.26.143.120,3,0.01%
23.33.29.25,3,0.01%
17.188.160.157,3,0.01%
184.28.81.80,3,0.01%
23.193.200.98,3,0.01%
23.53.216.31,3,0.01%
18.65.25.51,3,0.01%
17.188.156.178,3,0.01%
17.188.147.45,3,0.01%
17.188.166.153,3,0.01%
17.188.136.163,3,0.01%
17.248.188.146,3,0.01%
104.79.0.40,3,0.01%
23.37.230.170,3,0.01%
17.188.141.162,3,0.01%
104.71.143.51,3,0.01%
172.67.141.202,3,0.01%
17.188.155.169,3,0.01%
17.188.152.48,3,0.01%
185.180.13.22,3,0.01%
96.7.140.162,3,0.01%
23.198.5.145,3,0.01%
23.198.232.232,3,0.01%
23.63.177.8,3,0.01%
23.48.162.144,3,0.01%
23.40.99.5,3,0.01%
3.161.188.36,3,0.01%
17.57.144.12,3,0.01%
23.73.184.22,3,0.01%
13.226.210.39,3,0.01%
23.42.203.209,3,0.01%
162.159.137.232,3,0.01%
23.209.63.13,3,0.01%
184.24.197.123,3,0.01%
17.188.134.166,3,0.01%
23.59.210.120,3,0.01%
172.232.44.19,3,0.01%
23.219.217.176,3,0.01%
18.214.15.187,3,0.01%
10.244.9.8,3,0.01%
23.15.241.81,3,0.01%
23.212.65.207,3,0.01%
17.250.102.12,3,0.01%
23.48.105.54,3,0.01%
165.227.102.246,3,0.01%
104.97.2.140,3,0.01%
104.76.214.104,3,0.01%
23.67.33.133,3,0.01%
23.40.99.23,3,0.01%
104.120.129.11,3,0.01%
23.33.57.143,3,0.01%
54.171.199.187,3,0.01%
104.104.136.137,3,0.01%
104.75.163.147,3,0.01%
23.7.138.31,3,0.01%
173.194.55.75,3,0.01%
96.7.225.10,3,0.01%
17.248.186.19,3,0.01%
184.86.228.29,3,0.01%
104.110.131.252,3,0.01%
96.16.206.47,3,0.01%
17.188.141.30,3,0.01%
64.233.183.94,3,0.01%
18.164.78.99,3,0.01%
23.212.77.158,3,0.01%
142.251.15.101,3,0.01%
142.251.15.138,3,0.01%
23.48.162.138,3,0.01%
13.226.100.103,3,0.01%
96.17.171.24,3,0.01%
172.217.129.6,3,0.01%
23.40.205.24,3,0.01%
34.117.186.192,3,0.01%
17.188.145.51,3,0.01%
172.232.11.184,3,0.01%
3.18.3.115,3,0.01%
17.248.188.105,3,0.01%
17.188.164.29,3,0.01%
184.26.64.32,3,0.01%
17.188.167.215,3,0.01%
23.49.96.29,3,0.01%
17.248.230.65,3,0.01%
222.212.83.52,3,0.01%
34.102.136.180,3,0.01%
23.15.137.197,3,0.01%
17.248.186.15,3,0.01%
17.248.175.232,3,0.01%
104.125.89.68,3,0.01%
17.188.155.174,3,0.01%
17.188.157.167,3,0.01%
23.38.165.52,3,0.01%
17.188.153.165,3,0.01%
17.188.155.172,3,0.01%
3.99.97.138,3,0.01%
23.44.20.164,3,0.01%
23.66.3.139,3,0.01%
23.42.88.144,3,0.01%
3.161.136.12,3,0.01%
74.125.132.94,3,0.01%
142.250.189.4,3,0.01%
23.210.105.45,3,0.01%
17.188.162.94,3,0.01%
17.188.166.157,3,0.01%
17.188.138.165,3,0.01%
104.75.163.98,3,0.01%
18.164.78.105,3,0.01%
23.65.38.183,3,0.01%
184.28.221.9,3,0.01%
99.84.198.45,3,0.01%
99.79.30.184,3,0.01%
83.125.103.117,3,0.01%
151.101.2.49,3,0.01%
208.95.112.1,3,0.01%
194.87.186.66,3,0.01%
23.51.238.51,3,0.01%
13.226.228.69,3,0.01%
184.31.62.119,3,0.01%
104.119.186.121,3,0.01%
194.9.94.85,3,0.01%
96.16.55.12,3,0.01%
46.137.201.254,3,0.01%
79.208.189.99,3,0.01%
45.154.252.104,3,0.01%
194.9.94.86,3,0.01%
17.57.145.137,3,0.01%
23.63.242.91,3,0.01%
23.44.101.124,3,0.01%
216.137.45.102,3,0.01%
45.154.252.105,3,0.01%
13.225.142.34,3,0.01%
23.33.22.87,3,0.01%
104.119.224.178,3,0.01%
23.49.5.115,3,0.01%
163.172.162.179,3,0.01%
13.226.228.113,3,0.01%
23.56.99.178,3,0.01%
89.187.187.25,3,0.01%
192.18.149.148,3,0.01%
129.153.60.124,3,0.01%
184.25.164.225,3,0.01%
13.33.4.7,3,0.01%
172.232.44.18,3,0.01%
17.250.102.109,3,0.01%
23.63.208.30,3,0.01%
18.155.1.39,3,0.01%
94.229.102.114,3,0.01%
23.213.53.139,3,0.01%
18.65.3.80,3,0.01%
184.28.221.19,3,0.01%
163.181.140.183,3,0.01%
165.254.138.57,3,0.01%
23.196.148.183,3,0.01%
35.82.71.30,3,0.01%
17.248.134.211,3,0.01%
23.55.62.161,3,0.01%
23.37.230.90,3,0.01%
17.188.163.29,3,0.01%
17.188.167.94,3,0.01%
23.67.33.155,3,0.01%
17.248.186.68,3,0.01%
17.188.149.46,3,0.01%
17.188.157.38,3,0.01%
142.250.176.8,3,0.01%
142.250.141.84,3,0.01%
17.132.84.3,3,0.01%
23.49.5.87,3,0.01%
23.49.5.111,3,0.01%
172.64.149.82,3,0.01%
18.155.1.46,3,0.01%
104.79.134.34,3,0.01%
104.104.180.88,3,0.01%
23.209.36.65,3,0.01%
23.40.207.227,3,0.01%
17.188.128.142,3,0.01%
17.188.153.40,3,0.01%
17.188.133.166,3,0.01%
172.67.195.238,3,0.01%
172.67.211.102,3,0.01%
23.208.145.179,3,0.01%
99.84.203.87,3,0.01%
104.65.2.54,3,0.01%
23.34.165.115,3,0.01%
23.55.62.147,3,0.01%
104.101.129.205,3,0.01%
23.208.144.55,3,0.01%
17.188.167.23,3,0.01%
23.66.3.154,3,0.01%
52.10.21.111,3,0.01%
222.92.197.82,3,0.01%
17.188.164.30,3,0.01%
80.240.216.253,3,0.01%
99.84.206.30,3,0.01%
23.40.207.80,3,0.01%
23.211.176.34,3,0.01%
17.188.148.187,3,0.01%
104.77.220.104,3,0.01%
104.88.206.141,3,0.01%
104.20.1.53,3,0.01%
104.85.5.113,3,0.01%
104.85.5.147,3,0.01%
17.188.167.149,3,0.01%
165.254.138.82,3,0.01%
23.205.119.71,3,0.01%
47.103.140.186,3,0.01%
15.157.156.7,3,0.01%
51.15.148.197,3,0.01%
104.79.0.43,3,0.01%
95.89.214.53,3,0.01%
96.17.171.9,3,0.01%
104.104.245.34,3,0.01%
18.155.1.109,3,0.01%
23.59.246.29,3,0.01%
23.219.206.73,3,0.01%
99.84.203.14,3,0.01%
104.76.214.178,3,0.01%
23.60.13.8,3,0.01%
23.48.202.137,3,0.01%
17.188.136.35,3,0.01%
23.73.152.19,3,0.01%
17.188.155.50,3,0.01%
89.68.186.68,3,0.01%
23.206.171.25,3,0.01%
17.188.130.18,3,0.01%
17.188.161.88,3,0.01%
96.17.70.16,3,0.01%
17.188.166.151,3,0.01%
104.85.254.238,3,0.01%
54.230.253.26,3,0.01%
96.16.55.18,3,0.01%
184.50.26.41,3,0.01%
164.68.117.240,3,0.01%
23.214.125.107,3,0.01%
17.250.102.9,3,0.01%
64.52.80.121,3,0.01%
18.160.60.57,3,0.01%
3.98.47.246,3,0.01%
17.248.188.165,3,0.01%
205.185.208.154,3,0.01%
13.226.228.110,3,0.01%
23.40.207.154,3,0.01%
172.33.1.5,3,0.01%
17.250.102.36,3,0.01%
108.139.15.82,3,0.01%
18.64.155.73,3,0.01%
15.156.2.51,3,0.01%
142.250.9.101,3,0.01%
17.188.128.138,3,0.01%
18.165.116.2,3,0.01%
23.62.236.161,3,0.01%
23.40.207.210,3,0.01%
23.43.85.212,3,0.01%
3.161.136.11,3,0.01%
23.219.248.186,3,0.01%
23.40.205.51,3,0.01%
180.76.76.76,3,0.01%
172.66.43.196,3,0.01%
17.248.188.113,3,0.01%
104.71.143.215,3,0.01%
172.17.0.11,3,0.01%
198.52.167.239,3,0.01%
91.121.86.142,3,0.01%
10.20.0.6,3,0.01%
23.46.188.138,3,0.01%
23.48.4.6,3,0.01%
23.46.189.202,3,0.01%
216.239.38.21,3,0.01%
34.216.156.21,3,0.01%
18.183.233.246,3,0.01%
23.195.64.125,3,0.01%
116.6.93.214,3,0.01%
23.36.204.24,3,0.01%
13.249.120.126,3,0.01%
17.248.185.150,3,0.01%
104.237.62.212,3,0.01%
34.98.74.57,3,0.01%
34.102.26.38,3,0.01%
184.26.143.106,3,0.01%
149.154.167.220,3,0.01%
23.207.52.209,3,0.01%
17.248.188.164,3,0.01%
104.109.133.113,3,0.01%
17.250.99.146,3,0.01%
23.196.47.8,3,0.01%
216.58.218.14,3,0.01%
23.199.32.161,3,0.01%
172.232.11.160,3,0.01%
173.223.239.57,3,0.01%
172.230.107.90,3,0.01%
17.57.146.13,3,0.01%
54.68.141.132,3,0.01%
23.60.13.25,3,0.01%
23.11.255.115,3,0.01%
156.146.53.13,3,0.01%
17.188.147.171,3,0.01%
13.225.142.15,3,0.01%
23.35.75.174,3,0.01%
23.197.184.155,3,0.01%
64.86.205.11,3,0.01%
23.59.191.107,3,0.01%
17.167.195.40,3,0.01%
96.7.234.6,3,0.01%
184.26.136.10,3,0.01%
23.59.191.89,3,0.01%
17.188.168.26,3,0.01%
173.194.219.95,3,0.01%
23.60.13.40,3,0.01%
35.71.162.193,3,0.01%
142.250.9.139,3,0.01%
23.67.33.78,3,0.01%
216.58.217.206,3,0.01%
104.102.249.209,3,0.01%
23.6.69.186,3,0.01%
104.76.214.179,3,0.01%
50.67.61.76,2,0.01%
17.188.128.16,2,0.01%
82.43.245.3,2,0.01%
99.84.192.3,2,0.01%
104.76.210.143,2,0.01%
23.192.208.141,2,0.01%
104.117.184.56,2,0.01%
17.188.167.29,2,0.01%
184.24.36.143,2,0.01%
142.250.72.161,2,0.01%
23.48.105.213,2,0.01%
23.39.46.26,2,0.01%
23.62.168.184,2,0.01%
52.206.184.85,2,0.01%
172.232.11.208,2,0.01%
23.39.46.24,2,0.01%
17.250.102.72,2,0.01%
37.186.238.171,2,0.01%
162.159.128.233,2,0.01%
17.253.125.201,2,0.01%
74.118.136.13,2,0.01%
104.75.163.170,2,0.01%
184.28.148.30,2,0.01%
124.144.184.89,2,0.01%
13.114.196.60,2,0.01%
18.64.156.37,2,0.01%
96.17.40.191,2,0.01%
13.249.120.44,2,0.01%
64.227.19.223,2,0.01%
104.70.54.142,2,0.01%
89.58.43.26,2,0.01%
17.253.16.247,2,0.01%
104.67.212.89,2,0.01%
139.178.69.135,2,0.01%
18.213.98.139,2,0.01%
184.51.216.131,2,0.01%
96.17.70.150,2,0.01%
17.188.152.177,2,0.01%
17.248.129.205,2,0.01%
108.177.122.132,2,0.01%
69.61.38.210,2,0.01%
68.44.57.48,2,0.01%
184.85.77.115,2,0.01%
121.163.216.95,2,0.01%
54.164.232.85,2,0.01%
104.114.164.26,2,0.01%
23.37.230.168,2,0.01%
23.203.21.112,2,0.01%
23.43.85.218,2,0.01%
151.101.54.248,2,0.01%
172.217.14.68,2,0.01%
79.199.231.47,2,0.01%
51.89.74.240,2,0.01%
13.56.150.53,2,0.01%
10.0.4.6,2,0.01%
23.206.188.212,2,0.01%
52.21.185.87,2,0.01%
216.239.38.178,2,0.01%
23.48.162.150,2,0.01%
23.220.188.218,2,0.01%
172.118.205.18,2,0.01%
104.112.37.97,2,0.01%
142.250.72.226,2,0.01%
23.1.105.196,2,0.01%
23.206.188.198,2,0.01%
47.252.25.147,2,0.01%
173.222.197.110,2,0.01%
185.127.226.16,2,0.01%
96.6.20.63,2,0.01%
88.214.26.18,2,0.01%
13.32.230.55,2,0.01%
104.123.50.154,2,0.01%
193.3.23.239,2,0.01%
17.188.162.29,2,0.01%
17.188.135.32,2,0.01%
62.108.13.99,2,0.01%
209.6.233.218,2,0.01%
17.188.155.178,2,0.01%
184.28.203.168,2,0.01%
18.160.60.42,2,0.01%
23.63.204.188,2,0.01%
